accident_index,accident_severity,speed_limit,weather_conditions,road_surface_conditions,day_of_week,urban_or_rural_area,light_conditions
2023002802,3,30.0,3.0,1.0,2,2,1
2023002803,3,40.0,1.0,1.0,2,2,4
2023002804,3,30.0,1.0,1.0,4,2,1
2023002805,3,60.0,5.0,1.0,2,1,5
2023002806,3,60.0,1.0,1.0,5,2,1
2023002807,3,30.0,1.0,1.0,4,2,5
2023002808,2,30.0,1.0,2.0,2,1,1
2023002809,3,30.0,1.0,1.0,4,2,1
2023002810,3,40.0,2.0,1.0,7,1,1
2023002811,3,30.0,1.0,1.0,2,2,4
2023002812,3,40.0,1.0,1.0,1,1,5
2023002813,3,30.0,1.0,1.0,1,2,6
2023002814,2,30.0,1.0,2.0,2,1,1
2023002815,3,20.0,1.0,2.0,7,1,1
2023002816,3,30.0,1.0,1.0,4,1,7
2023002817,3,50.0,1.0,1.0,5,1,1
2023002818,1,70.0,1.0,1.0,1,3,1
2023002819,1,30.0,1.0,4.0,4,1,6
2023002820,3,30.0,5.0,2.0,5,1,1
2023002821,3,30.0,1.0,1.0,4,2,1
2023002822,3,40.0,1.0,1.0,2,1,1
2023002823,3,30.0,1.0,1.0,1,1,1
2023002824,3,40.0,2.0,1.0,1,1,1
2023002825,3,70.0,1.0,2.0,1,2,1
2023002826,3,30.0,5.0,1.0,2,2,1
2023002827,3,50.0,1.0,1.0,5,2,6
2023002828,2,20.0,3.0,1.0,5,3,4
2023002829,3,30.0,1.0,1.0,6,1,5
2023002830,2,30.0,2.0,1.0,6,3,1
2023002831,3,30.0,2.0,2.0,7,1,1
2023002832,3,30.0,1.0,1.0,1,1,1
2023002833,2,30.0,1.0,1.0,6,1,4
2023002834,3,30.0,1.0,2.0,7,1,1
2023002835,3,30.0,1.0,1.0,5,2,1
2023002836,3,40.0,2.0,1.0,6,1,1
2023002837,3,70.0,1.0,1.0,6,2,1
2023002838,2,30.0,1.0,2.0,1,1,1
2023002839,3,30.0,1.0,1.0,5,1,6
2023002840,3,30.0,1.0,2.0,7,1,1
2023002841,3,70.0,9.0,1.0,1,1,5
2023002842,3,40.0,4.0,1.0,5,3,1
2023002843,3,30.0,1.0,2.0,4,2,1
2023002844,3,30.0,3.0,1.0,1,1,6
2023002845,3,30.0,4.0,2.0,6,1,1
2023002846,3,30.0,1.0,1.0,7,1,1
2023002847,3,70.0,,1.0,7,1,1
2023002848,3,70.0,1.0,2.0,7,2,1
2023002849,3,30.0,1.0,1.0,6,1,1
2023002850,3,30.0,1.0,1.0,1,1,1
2023002851,3,30.0,2.0,1.0,6,2,4
2023002852,3,30.0,1.0,1.0,3,1,1
2023002853,3,70.0,1.0,1.0,1,2,1
2023002854,3,30.0,1.0,3.0,5,2,6
2023002855,2,30.0,1.0,,7,1,1
2023002856,3,30.0,2.0,3.0,4,2,1
2023002857,3,60.0,1.0,5.0,4,2,1
2023002858,2,40.0,1.0,1.0,5,1,6
2023002859,2,30.0,1.0,1.0,2,1,6
2023002860,3,30.0,1.0,1.0,7,1,1
2023002861,3,30.0,1.0,2.0,6,2,1
2023002862,3,70.0,1.0,1.0,1,1,5
2023002863,3,30.0,1.0,1.0,7,1,1
2023002864,3,30.0,1.0,1.0,4,1,4
2023002865,3,30.0,1.0,1.0,5,1,6
2023002866,3,50.0,1.0,1.0,4,1,1
2023002867,3,30.0,2.0,1.0,7,1,6
2023002868,3,30.0,1.0,2.0,7,1,1
2023002869,3,40.0,3.0,1.0,7,2,6
2023002870,3,40.0,1.0,4.0,7,2,1
2023002871,3,50.0,1.0,1.0,4,1,1
2023002872,3,70.0,1.0,3.0,7,2,6
2023002873,3,30.0,1.0,1.0,5,1,1
2023002874,3,30.0,1.0,2.0,3,2,5
2023002875,3,70.0,2.0,1.0,4,1,5
2023002876,3,30.0,1.0,2.0,4,1,1
2023002877,3,40.0,1.0,2.0,2,1,1
2023002878,3,40.0,1.0,1.0,3,1,4
2023002879,3,30.0,2.0,1.0,2,2,1
2023002880,3,30.0,9.0,1.0,5,1,1
2023002881,3,50.0,1.0,1.0,7,1,1
2023002882,3,60.0,1.0,1.0,7,2,6
2023002883,3,40.0,1.0,2.0,6,2,5
2023002884,2,30.0,4.0,1.0,7,1,1
2023002885,2,30.0,9.0,2.0,1,1,5
2023002886,3,30.0,2.0,2.0,5,2,7
2023002887,3,30.0,1.0,2.0,3,1,1
2023002888,3,30.0,1.0,1.0,6,2,1
2023002889,3,70.0,2.0,1.0,5,2,1
2023002890,3,50.0,2.0,1.0,3,1,1
2023002891,3,40.0,2.0,1.0,6,2,1
2023002892,3,30.0,1.0,1.0,2,1,1
2023002893,3,30.0,1.0,3.0,4,2,4
2023002894,3,70.0,1.0,2.0,5,1,1
2023002895,2,30.0,2.0,1.0,7,2,7
2023002896,3,30.0,1.0,1.0,5,3,1
2023002897,3,30.0,1.0,1.0,6,1,1
2023002898,3,70.0,1.0,4.0,4,2,1
2023002899,3,70.0,1.0,4.0,5,1,6
2023002900,2,20.0,1.0,1.0,7,2,1
2023002901,2,70.0,1.0,1.0,5,2,1
2023002902,3,30.0,1.0,1.0,6,3,4
2023002903,1,20.0,5.0,1.0,1,2,1
2023002904,3,60.0,8.0,1.0,6,1,5
2023002905,3,70.0,1.0,2.0,6,1,1
2023002906,2,40.0,3.0,1.0,6,2,5
2023002907,3,40.0,1.0,2.0,1,2,1
2023002908,3,60.0,5.0,1.0,7,1,1
2023002909,3,,2.0,2.0,4,1,1
2023002910,3,70.0,1.0,2.0,2,1,1
2023002911,3,40.0,1.0,1.0,5,2,5
2023002912,1,70.0,1.0,2.0,6,2,1
2023002913,3,70.0,2.0,1.0,5,1,5
2023002914,3,30.0,1.0,1.0,2,1,1
2023002915,3,60.0,1.0,1.0,5,2,4
2023002916,3,30.0,1.0,1.0,2,2,1
2023002917,3,30.0,9.0,1.0,4,1,1
2023002918,3,40.0,5.0,2.0,4,2,1
2023002919,3,30.0,1.0,1.0,2,1,5
2023002920,3,30.0,2.0,1.0,2,2,1
2023002921,3,70.0,3.0,2.0,3,2,1
2023002922,3,30.0,4.0,2.0,1,3,6
2023002923,3,30.0,1.0,1.0,7,2,1
2023002924,3,70.0,1.0,1.0,1,1,1
2023002925,3,30.0,1.0,1.0,6,2,7
2023002926,3,30.0,1.0,1.0,5,2,1
2023002927,3,30.0,1.0,2.0,5,1,5
2023002928,3,30.0,1.0,1.0,2,1,1
2023002929,3,40.0,1.0,1.0,6,1,1
2023002930,3,60.0,1.0,4.0,2,2,5
2023002931,3,30.0,1.0,1.0,1,2,6
2023002932,3,60.0,1.0,1.0,6,1,1
2023002933,2,30.0,4.0,2.0,6,1,1
2023002934,3,30.0,5.0,2.0,5,1,1
2023002935,3,40.0,1.0,1.0,7,1,7
2023002936,2,50.0,4.0,2.0,1,1,6
2023002937,3,40.0,1.0,1.0,4,3,1
2023002938,3,30.0,2.0,2.0,1,2,5
2023002939,3,30.0,1.0,4.0,1,1,1
2023002940,2,30.0,1.0,1.0,2,1,1
2023002941,3,30.0,1.0,1.0,5,1,1
2023002942,3,40.0,1.0,1.0,7,1,1
2023002943,3,20.0,1.0,2.0,4,3,6
2023002944,3,50.0,1.0,2.0,1,1,1
2023002945,3,30.0,1.0,1.0,1,1,6
2023002946,2,30.0,4.0,2.0,2,2,6
2023002947,3,30.0,1.0,2.0,6,1,1
2023002948,3,30.0,1.0,2.0,3,1,4
2023002949,3,70.0,1.0,2.0,5,1,1
2023002950,3,30.0,3.0,1.0,5,1,7
2023002951,3,30.0,1.0,1.0,5,1,5
2023002952,3,60.0,1.0,2.0,1,2,4
2023002953,3,40.0,1.0,3.0,1,2,6
2023002954,3,30.0,1.0,1.0,1,2,1
2023002955,3,30.0,1.0,1.0,6,2,1
2023002956,3,50.0,1.0,2.0,3,2,5
2023002957,3,70.0,1.0,2.0,1,1,1
2023002958,3,70.0,1.0,1.0,5,2,6
2023002959,3,30.0,,1.0,6,1,4
2023002960,3,70.0,1.0,2.0,5,1,1
2023002961,3,20.0,1.0,2.0,2,2,1
2023002962,3,20.0,8.0,2.0,3,2,1
2023002963,3,60.0,1.0,2.0,4,1,1
2023002964,3,30.0,2.0,1.0,1,1,1
2023002965,3,30.0,1.0,5.0,7,1,5
2023002966,3,30.0,1.0,2.0,4,2,1
2023002967,3,30.0,3.0,1.0,1,3,1
2023002968,3,50.0,1.0,3.0,3,2,1
2023002969,3,40.0,1.0,3.0,3,2,1
2023002970,3,30.0,1.0,2.0,5,1,7
2023002971,3,30.0,1.0,1.0,3,1,1
2023002972,2,70.0,3.0,1.0,6,2,1
2023002973,3,60.0,1.0,1.0,6,1,5
2023002974,3,30.0,1.0,,7,1,1
2023002975,3,70.0,2.0,1.0,4,2,1
2023002976,2,50.0,9.0,1.0,4,2,7
2023002977,3,30.0,3.0,1.0,3,1,1
2023002978,1,20.0,1.0,3.0,4,3,1
2023002979,3,30.0,2.0,1.0,6,1,5
2023002980,3,50.0,2.0,1.0,1,1,1
2023002981,3,30.0,2.0,1.0,2,1,1
2023002982,3,30.0,3.0,1.0,7,2,5
2023002983,3,30.0,5.0,2.0,6,1,7
2023002984,3,70.0,1.0,1.0,5,2,1
2023002985,3,30.0,1.0,1.0,2,1,1
2023002986,3,70.0,2.0,1.0,4,1,1
2023002987,2,70.0,1.0,1.0,5,1,6
2023002988,3,20.0,1.0,1.0,7,1,4
2023002989,3,30.0,1.0,1.0,2,1,1
2023002990,3,20.0,3.0,1.0,2,1,1
2023002991,3,70.0,1.0,1.0,4,2,1
2023002992,3,30.0,1.0,2.0,5,2,6
2023002993,3,30.0,1.0,1.0,6,1,1
2023002994,3,30.0,1.0,1.0,6,1,1
2023002995,2,30.0,1.0,1.0,5,1,1
2023002996,3,70.0,1.0,2.0,2,1,1
2023002997,2,40.0,3.0,1.0,5,2,1
2023002998,3,70.0,4.0,1.0,7,1,1
2023002999,3,30.0,2.0,2.0,6,2,1
2023003000,3,20.0,1.0,1.0,5,2,5
2023003001,3,70.0,1.0,1.0,1,1,1
2023003002,3,20.0,1.0,1.0,4,2,7
2023003003,3,70.0,1.0,3.0,6,1,4
2023003004,3,30.0,1.0,1.0,4,1,1
2023003005,3,20.0,2.0,1.0,1,3,1
2023003006,3,40.0,1.0,4.0,7,2,4
2023003007,3,70.0,1.0,1.0,7,1,1
2023003008,1,70.0,5.0,1.0,2,2,6
2023003009,3,30.0,1.0,1.0,3,2,1
2023003010,2,30.0,5.0,1.0,6,2,1
2023003011,3,40.0,9.0,1.0,2,1,1
2023003012,3,40.0,1.0,3.0,1,2,1
2023003013,3,50.0,1.0,1.0,5,2,5
2023003014,3,30.0,2.0,1.0,1,1,1
2023003015,3,70.0,1.0,1.0,4,1,1
2023003016,3,40.0,1.0,1.0,5,1,1
2023003017,3,60.0,2.0,1.0,2,1,1
2023003018,3,30.0,1.0,1.0,5,1,1
2023003019,2,30.0,1.0,1.0,4,2,1
2023003020,3,70.0,1.0,1.0,1,2,1
2023003021,3,40.0,2.0,2.0,7,1,1
2023003022,3,70.0,1.0,1.0,2,2,4
2023003023,3,70.0,1.0,1.0,3,2,1
2023003024,3,40.0,1.0,1.0,7,1,1
2023003025,2,30.0,1.0,1.0,3,1,1
2023003026,3,20.0,2.0,1.0,1,1,4
2023003027,3,20.0,2.0,2.0,2,1,1
2023003028,3,30.0,1.0,1.0,7,1,6
2023003029,3,30.0,1.0,1.0,7,1,6
2023003030,3,30.0,1.0,3.0,2,2,4
2023003031,3,30.0,1.0,1.0,5,1,6
2023003032,3,30.0,1.0,2.0,7,1,6
2023003033,3,30.0,1.0,2.0,6,3,1
2023003034,2,30.0,1.0,2.0,1,2,7
2023003035,3,20.0,1.0,3.0,5,2,1
2023003036,3,40.0,2.0,2.0,1,1,1
2023003037,3,30.0,2.0,1.0,4,2,7
2023003038,3,30.0,1.0,1.0,1,1,1
2023003039,2,40.0,1.0,1.0,5,2,1
2023003040,3,60.0,4.0,1.0,2,1,7
2023003041,3,30.0,8.0,3.0,1,1,1
2023003042,3,40.0,1.0,1.0,7,3,1
2023003043,2,70.0,2.0,2.0,2,1,1
2023003044,3,60.0,3.0,2.0,4,1,5
2023003045,3,30.0,1.0,2.0,3,1,5
2023003046,3,40.0,1.0,1.0,3,1,6
2023003047,3,30.0,1.0,2.0,5,1,1
2023003048,3,40.0,1.0,1.0,1,2,1
2023003049,3,70.0,1.0,2.0,4,1,4
2023003050,3,30.0,5.0,1.0,4,1,4
2023003051,3,70.0,2.0,3.0,2,2,1
2023003052,3,30.0,1.0,1.0,6,2,1
2023003053,3,70.0,1.0,1.0,7,3,1
2023003054,3,40.0,1.0,1.0,5,1,6
2023003055,3,20.0,1.0,2.0,4,1,6
2023003056,3,40.0,1.0,2.0,1,1,1
2023003057,3,30.0,5.0,1.0,4,2,1
2023003058,2,20.0,1.0,1.0,3,1,1
2023003059,2,60.0,1.0,1.0,5,2,7
2023003060,3,30.0,1.0,1.0,2,3,6
2023003061,3,50.0,1.0,1.0,7,1,1
2023003062,2,30.0,1.0,1.0,1,1,1
2023003063,3,30.0,1.0,2.0,3,1,1
2023003064,3,70.0,1.0,1.0,4,1,1
2023003065,3,30.0,1.0,3.0,5,2,7
2023003066,3,40.0,1.0,1.0,5,1,1
2023003067,1,40.0,1.0,1.0,1,1,5
2023003068,3,40.0,1.0,1.0,2,1,1
2023003069,3,70.0,4.0,1.0,3,1,1
2023003070,3,40.0,1.0,1.0,6,1,5
2023003071,3,30.0,1.0,1.0,2,1,4
2023003072,3,70.0,1.0,1.0,7,1,5
2023003073,3,30.0,1.0,1.0,7,2,5
2023003074,3,30.0,2.0,1.0,1,2,1
2023003075,3,70.0,1.0,1.0,1,3,1
2023003076,3,40.0,2.0,1.0,3,2,5
2023003077,3,60.0,1.0,1.0,5,1,1
2023003078,2,40.0,1.0,1.0,5,2,1
2023003079,2,60.0,2.0,1.0,3,1,6
2023003080,3,70.0,1.0,1.0,2,1,6
2023003081,3,30.0,1.0,2.0,7,1,5
2023003082,3,30.0,2.0,3.0,3,1,1
2023003083,3,30.0,5.0,1.0,6,2,6
2023003084,3,50.0,1.0,1.0,5,1,6
2023003085,3,30.0,1.0,1.0,2,1,4
2023003086,3,20.0,1.0,1.0,4,1,1
2023003087,3,,1.0,1.0,2,2,1
2023003088,1,70.0,1.0,1.0,7,1,5
2023003089,3,40.0,3.0,2.0,5,1,5
2023003090,3,30.0,1.0,2.0,1,2,1
2023003091,3,30.0,2.0,5.0,2,1,1
2023003092,3,30.0,1.0,1.0,7,2,4
2023003093,3,30.0,1.0,1.0,2,2,4
2023003094,3,30.0,5.0,1.0,1,1,1
2023003095,3,70.0,1.0,1.0,5,2,1
2023003096,3,70.0,1.0,3.0,4,3,4
2023003097,3,30.0,1.0,1.0,4,1,1
2023003098,2,30.0,2.0,1.0,7,1,1
2023003099,1,30.0,1.0,1.0,3,2,1
2023003100,3,30.0,1.0,1.0,4,1,1
2023003101,2,30.0,1.0,1.0,4,1,5
2023003102,3,30.0,1.0,1.0,2,2,5
2023003103,3,30.0,2.0,1.0,3,1,4
2023003104,3,50.0,1.0,4.0,4,2,6
2023003105,3,50.0,1.0,1.0,2,1,1
2023003106,3,40.0,1.0,1.0,3,2,1
2023003107,3,30.0,3.0,1.0,2,1,1
2023003108,1,70.0,2.0,2.0,1,1,5
2023003109,3,70.0,2.0,1.0,5,1,1
2023003110,3,30.0,1.0,3.0,5,1,1
2023003111,3,30.0,1.0,1.0,5,1,1
2023003112,3,30.0,1.0,,4,1,6
2023003113,3,30.0,4.0,1.0,5,3,4
2023003114,2,30.0,4.0,5.0,5,1,1
2023003115,3,40.0,8.0,1.0,3,1,7
2023003116,3,30.0,1.0,1.0,7,1,5
2023003117,3,30.0,1.0,1.0,3,3,1
2023003118,1,30.0,,1.0,6,2,1
2023003119,3,70.0,2.0,1.0,3,2,1
2023003120,3,30.0,1.0,2.0,4,1,5
2023003121,3,40.0,2.0,3.0,7,1,1
2023003122,3,20.0,1.0,3.0,6,1,1
2023003123,2,30.0,1.0,1.0,6,2,1
2023003124,3,40.0,1.0,1.0,5,1,6
2023003125,3,30.0,1.0,1.0,4,2,6
2023003126,3,20.0,1.0,1.0,7,1,1
2023003127,3,30.0,1.0,2.0,7,1,1
2023003128,2,40.0,1.0,1.0,4,1,6
2023003129,3,50.0,1.0,2.0,4,1,4
2023003130,3,30.0,4.0,2.0,4,1,6
2023003131,3,40.0,3.0,1.0,4,1,6
2023003132,3,30.0,1.0,1.0,4,1,5
2023003133,3,40.0,1.0,1.0,6,2,1
2023003134,3,30.0,1.0,1.0,5,1,1
2023003135,3,40.0,9.0,1.0,3,1,1
2023003136,3,70.0,1.0,3.0,6,1,4
2023003137,3,70.0,1.0,1.0,2,1,1
2023003138,3,20.0,3.0,2.0,7,1,1
2023003139,3,70.0,1.0,2.0,2,1,1
2023003140,2,30.0,4.0,2.0,2,1,7
2023003141,3,70.0,1.0,2.0,7,1,1
2023003142,3,30.0,1.0,1.0,1,2,1
2023003143,3,30.0,1.0,2.0,3,1,1
2023003144,3,30.0,4.0,1.0,5,1,1
2023003145,3,30.0,4.0,1.0,4,1,6
2023003146,3,50.0,1.0,1.0,2,1,7
2023003147,3,70.0,1.0,1.0,7,1,1
2023003148,3,40.0,1.0,3.0,3,1,1
2023003149,3,50.0,9.0,1.0,5,1,5
2023003150,3,50.0,1.0,1.0,2,2,1
2023003151,3,30.0,2.0,1.0,3,1,1
2023003152,3,20.0,1.0,1.0,7,2,1
2023003153,3,20.0,1.0,1.0,6,2,6
2023003154,3,30.0,1.0,1.0,5,2,4
2023003155,3,30.0,2.0,3.0,7,2,1
2023003156,3,30.0,4.0,1.0,6,1,6
2023003157,3,30.0,1.0,1.0,3,1,4
2023003158,2,30.0,1.0,1.0,4,2,5
2023003159,3,70.0,1.0,1.0,3,1,1
2023003160,3,30.0,1.0,3.0,3,3,1
2023003161,3,30.0,5.0,1.0,1,1,1
2023003162,2,40.0,1.0,,4,1,6
2023003163,3,30.0,3.0,1.0,6,1,1
2023003164,3,30.0,2.0,2.0,3,1,1
2023003165,2,30.0,2.0,1.0,4,1,1
2023003166,3,30.0,5.0,1.0,3,2,1
2023003167,3,30.0,1.0,1.0,7,1,1
2023003168,2,30.0,4.0,3.0,4,1,1
2023003169,3,40.0,1.0,2.0,5,1,1
2023003170,3,40.0,1.0,,7,1,1
2023003171,3,30.0,2.0,,2,1,1
2023003172,3,30.0,1.0,1.0,1,1,1
2023003173,2,30.0,2.0,1.0,2,1,4
2023003174,2,60.0,2.0,1.0,3,3,1
2023003175,2,30.0,3.0,2.0,3,2,1
2023003176,3,50.0,1.0,1.0,5,2,4
2023003177,3,50.0,1.0,2.0,3,1,1
2023003178,3,30.0,,1.0,6,1,6
2023003179,3,30.0,2.0,,4,2,1
2023003180,3,30.0,1.0,1.0,6,2,7
2023003181,2,30.0,1.0,1.0,2,1,1
2023003182,3,20.0,1.0,1.0,7,1,1
2023003183,3,30.0,1.0,1.0,3,1,1
2023003184,3,30.0,1.0,1.0,5,1,1
2023003185,3,30.0,1.0,1.0,1,2,1
2023003186,3,60.0,1.0,5.0,6,1,1
2023003187,3,30.0,3.0,1.0,2,1,1
2023003188,3,70.0,1.0,1.0,5,2,6
2023003189,3,70.0,1.0,1.0,5,1,1
2023003190,3,70.0,1.0,1.0,2,2,1
2023003191,3,60.0,2.0,1.0,5,2,1
2023003192,3,30.0,1.0,2.0,7,1,4
2023003193,3,30.0,1.0,1.0,7,1,1
2023003194,3,40.0,1.0,2.0,1,1,1
2023003195,3,40.0,1.0,1.0,1,1,1
2023003196,3,60.0,1.0,5.0,3,2,7
2023003197,3,70.0,1.0,1.0,4,2,5
2023003198,3,30.0,2.0,1.0,3,2,1
2023003199,2,30.0,1.0,,4,2,1
2023003200,3,30.0,1.0,4.0,2,1,5
2023003201,3,20.0,1.0,1.0,5,2,1
2023003202,3,30.0,1.0,1.0,3,2,1
2023003203,3,40.0,5.0,1.0,5,1,1
2023003204,3,60.0,1.0,3.0,3,3,1
2023003205,3,30.0,2.0,1.0,3,1,1
2023003206,3,70.0,2.0,1.0,1,2,4
2023003207,3,40.0,1.0,2.0,4,2,1
2023003208,3,60.0,5.0,2.0,2,1,1
2023003209,3,30.0,1.0,2.0,7,1,1
2023003210,3,70.0,1.0,5.0,5,1,1
2023003211,2,40.0,1.0,1.0,3,1,1
2023003212,3,30.0,1.0,1.0,5,1,4
2023003213,3,30.0,1.0,2.0,1,1,5
2023003214,3,70.0,1.0,2.0,7,1,1
2023003215,3,20.0,1.0,2.0,2,1,5
2023003216,2,30.0,1.0,3.0,4,1,1
2023003217,2,30.0,1.0,1.0,4,1,1
2023003218,1,40.0,1.0,1.0,3,2,1
2023003219,3,60.0,1.0,1.0,7,2,1
2023003220,3,30.0,1.0,2.0,2,1,5
2023003221,3,30.0,1.0,1.0,4,1,1
2023003222,2,70.0,1.0,2.0,2,3,4
2023003223,2,50.0,1.0,1.0,5,1,1
2023003224,1,70.0,1.0,1.0,1,2,5
2023003225,2,30.0,1.0,1.0,2,1,5
2023003226,3,30.0,5.0,2.0,2,1,1
2023003227,3,30.0,1.0,1.0,7,2,1
2023003228,3,50.0,1.0,2.0,4,3,6
2023003229,2,30.0,1.0,1.0,6,2,1
2023003230,3,30.0,1.0,1.0,3,2,1
2023003231,3,20.0,1.0,1.0,7,1,1
2023003232,3,30.0,1.0,2.0,3,1,1
2023003233,3,60.0,1.0,1.0,6,1,1
2023003234,2,20.0,1.0,3.0,6,1,5
2023003235,3,40.0,3.0,1.0,7,2,1
2023003236,3,70.0,1.0,1.0,6,1,1
2023003237,3,30.0,1.0,1.0,5,1,1
2023003238,3,40.0,2.0,1.0,4,1,1
2023003239,3,70.0,1.0,1.0,4,1,6
2023003240,3,70.0,2.0,1.0,1,1,1
2023003241,3,30.0,1.0,2.0,3,1,1
2023003242,3,30.0,1.0,1.0,4,1,1
2023003243,3,30.0,1.0,1.0,6,2,4
2023003244,3,50.0,8.0,1.0,5,1,7
2023003245,3,50.0,1.0,1.0,7,1,1
2023003246,3,40.0,5.0,1.0,1,2,5
2023003247,3,30.0,1.0,4.0,3,2,1
2023003248,3,30.0,,2.0,3,1,1
2023003249,3,40.0,5.0,2.0,3,1,1
2023003250,3,30.0,1.0,1.0,1,2,6
2023003251,3,50.0,8.0,1.0,7,1,5
2023003252,2,30.0,1.0,1.0,7,1,1
2023003253,3,30.0,5.0,1.0,5,1,6
2023003254,2,30.0,1.0,1.0,7,2,1
2023003255,3,30.0,1.0,1.0,5,2,1
2023003256,2,30.0,4.0,2.0,4,2,4
2023003257,3,30.0,1.0,5.0,4,1,7
2023003258,3,30.0,1.0,1.0,3,1,1
2023003259,3,20.0,1.0,2.0,6,2,5
2023003260,3,30.0,,2.0,2,1,6
2023003261,3,50.0,9.0,1.0,4,1,1
2023003262,3,30.0,1.0,3.0,5,1,1
2023003263,3,40.0,1.0,1.0,3,1,1
2023003264,1,50.0,1.0,2.0,5,2,5
2023003265,3,40.0,2.0,1.0,3,1,1
2023003266,2,70.0,1.0,1.0,1,1,1
2023003267,3,20.0,1.0,1.0,4,1,1
2023003268,3,50.0,1.0,2.0,6,2,1
2023003269,3,70.0,1.0,1.0,1,2,4
2023003270,3,70.0,4.0,1.0,4,2,5
2023003271,3,30.0,1.0,1.0,6,1,1
2023003272,1,30.0,1.0,1.0,6,2,1
2023003273,3,30.0,1.0,2.0,6,1,1
2023003274,3,40.0,2.0,2.0,5,1,5
2023003275,3,50.0,1.0,2.0,5,1,4
2023003276,3,30.0,1.0,2.0,2,1,4
2023003277,3,30.0,1.0,3.0,5,2,1
2023003278,3,40.0,2.0,2.0,3,2,1
2023003279,3,30.0,1.0,3.0,2,2,5
2023003280,3,70.0,1.0,1.0,3,2,4
2023003281,3,50.0,1.0,1.0,2,1,6
2023003282,3,30.0,1.0,5.0,3,1,1
2023003283,3,40.0,8.0,2.0,2,2,1
2023003284,3,30.0,1.0,2.0,4,2,1
2023003285,3,40.0,5.0,1.0,6,3,1
2023003286,2,70.0,1.0,2.0,4,1,1
2023003287,3,70.0,1.0,2.0,2,2,1
2023003288,3,30.0,1.0,1.0,1,2,4
2023003289,3,30.0,5.0,1.0,7,1,1
2023003290,3,30.0,1.0,1.0,2,2,1
2023003291,2,30.0,4.0,3.0,1,1,7
2023003292,3,30.0,1.0,2.0,6,1,1
2023003293,3,30.0,1.0,3.0,3,2,1
2023003294,3,20.0,3.0,1.0,2,2,7
2023003295,3,30.0,5.0,3.0,1,1,1
2023003296,2,30.0,1.0,1.0,6,2,1
2023003297,3,70.0,1.0,1.0,2,1,5
2023003298,2,50.0,1.0,1.0,4,1,1
2023003299,3,30.0,1.0,5.0,4,1,4
2023003300,3,30.0,1.0,1.0,2,2,6
2023003301,3,30.0,1.0,1.0,2,2,1
2023003302,3,,1.0,1.0,5,1,1
2023003303,3,30.0,1.0,1.0,6,3,1
2023003304,3,60.0,8.0,2.0,7,2,1
2023003305,3,40.0,1.0,1.0,4,1,1
2023003306,3,40.0,1.0,1.0,3,2,1
2023003307,3,30.0,9.0,3.0,2,2,6
2023003308,2,70.0,1.0,1.0,5,1,1
2023003309,3,70.0,1.0,2.0,7,1,1
2023003310,3,30.0,1.0,1.0,6,1,6
2023003311,3,30.0,1.0,4.0,2,2,5
2023003312,3,30.0,2.0,1.0,4,2,1
2023003313,3,30.0,1.0,2.0,1,1,5
2023003314,1,40.0,1.0,2.0,6,2,1
2023003315,3,30.0,1.0,1.0,1,1,4
2023003316,3,30.0,5.0,1.0,4,1,1
2023003317,3,30.0,1.0,1.0,3,2,1
2023003318,1,30.0,1.0,1.0,6,1,1
2023003319,3,70.0,1.0,1.0,5,1,1
2023003320,3,40.0,1.0,5.0,2,1,1
2023003321,3,40.0,1.0,1.0,2,1,1
2023003322,2,30.0,1.0,1.0,7,2,1
2023003323,3,40.0,1.0,1.0,2,1,6
2023003324,3,30.0,1.0,1.0,5,2,4
2023003325,3,40.0,1.0,1.0,5,2,1
2023003326,3,30.0,1.0,5.0,4,1,7
2023003327,3,30.0,3.0,2.0,5,2,6
2023003328,3,30.0,1.0,1.0,2,3,1
2023003329,2,30.0,1.0,1.0,6,1,1
2023003330,3,70.0,1.0,1.0,7,1,5
2023003331,3,30.0,1.0,2.0,2,2,1
2023003332,3,30.0,1.0,2.0,5,1,1
2023003333,2,30.0,2.0,2.0,5,1,1
2023003334,3,70.0,1.0,1.0,7,1,1
2023003335,3,30.0,8.0,3.0,4,1,7
2023003336,3,50.0,8.0,1.0,1,1,5
2023003337,3,70.0,1.0,1.0,5,1,1
2023003338,3,30.0,3.0,3.0,1,1,5
2023003339,3,30.0,1.0,1.0,3,1,1
2023003340,3,30.0,1.0,1.0,7,2,1
2023003341,3,60.0,1.0,1.0,1,2,1
2023003342,3,20.0,1.0,1.0,5,1,1
2023003343,3,30.0,5.0,1.0,2,1,1
2023003344,2,40.0,2.0,1.0,2,2,5
2023003345,3,40.0,2.0,1.0,5,1,1
2023003346,3,30.0,1.0,2.0,4,2,5
2023003347,3,30.0,1.0,1.0,6,1,1
2023003348,3,30.0,1.0,2.0,5,1,1
2023003349,3,30.0,1.0,1.0,5,1,6
2023003350,3,30.0,1.0,1.0,6,2,1
2023003351,3,70.0,1.0,1.0,4,1,1
2023003352,3,30.0,1.0,1.0,4,2,1
2023003353,3,70.0,1.0,2.0,3,1,1
2023003354,3,40.0,1.0,1.0,3,1,1
2023003355,3,20.0,1.0,2.0,3,1,4
2023003356,2,50.0,4.0,2.0,4,1,1
2023003357,3,20.0,1.0,1.0,1,1,1
2023003358,3,70.0,1.0,1.0,5,1,4
2023003359,3,70.0,3.0,1.0,7,1,6
2023003360,3,30.0,9.0,1.0,3,1,1
